Number,Vc,f,d,Ï•,VB,P,Replicate,Ra,Rz,Rq,Rt,Sm
13,280.0,0.1,0.53,D30,New,Middle,18,1.07,5.56,1.3,6.08,97.0
14,280.0,0.1,1.37,D30,New,Middle,18,1.45,8.38,1.85,10.07,90.0
15,280.0,0.1,0.95,D30,New,Middle,18,1.25,6.59,1.53,7.46,91.0
16,280.0,0.1,0.95,D30,New,Middle,18,1.15,6.06,1.4,7.16,90.0
17,280.0,0.1,0.95,D30,New,Middle,18,1.14,5.96,1.39,6.5,89.0
1,220.0,0.08,0.7,D30,New,Middle,19,1.05,6.65,1.34,8.86,73.0
2,340.0,0.08,0.7,D30,New,Middle,19,1.03,5.23,1.26,5.8,78.0
3,220.0,0.12,0.7,D30,New,Middle,19,1.4,6.03,1.61,6.33,118.0
4,340.0,0.12,0.7,D30,New,Middle,19,1.4,6.51,1.63,6.91,118.0
5,220.0,0.08,1.2,D30,New,Middle,19,1.69,10.16,2.18,14.62,83.0
6,340.0,0.08,1.2,D30,New,Middle,19,1.49,8.41,1.9,9.88,84.0
7,220.0,0.12,1.2,D30,New,Middle,19,1.51,7.34,1.82,8.0,117.0
8,340.0,0.12,1.2,D30,New,Middle,19,1.67,8.72,2.02,11.52,115.0
9,179.09,0.1,0.95,D30,New,Middle,19,1.15,6.97,1.45,8.81,94.0
10,380.91,0.1,0.95,D30,New,Middle,19,1.59,9.87,2.09,14.84,93.0
11,280.0,0.07,0.95,D30,New,Middle,19,1.93,9.2,2.29,10.45,145.0
12,280.0,0.13,0.95,D30,New,Middle,19,1.4,7.15,1.69,8.51,128.0
13,280.0,0.1,0.53,D30,New,Middle,19,1.12,5.78,1.36,8.08,99.0
14,280.0,0.1,1.37,D30,New,Middle,19,1.36,7.66,1.67,10.17,104.0
15,280.0,0.1,0.95,D30,New,Middle,19,1.21,6.17,1.47,6.67,101.0
16,280.0,0.1,0.95,D30,New,Middle,19,1.15,5.94,1.39,6.97,97.0
17,280.0,0.1,0.95,D30,New,Middle,19,1.15,6.18,1.41,6.82,88.0
1,220.0,0.08,0.7,D30,New,Middle,20,0.88,5.77,1.12,7.0,77.0
2,340.0,0.08,0.7,D30,New,Middle,20,0.96,5.16,1.18,5.75,81.0
3,220.0,0.12,0.7,D30,New,Middle,20,1.4,6.26,1.62,6.83,119.0
4,340.0,0.12,0.7,D30,New,Middle,20,1.5,7.3,1.77,8.18,118.0
5,220.0,0.08,1.2,D30,New,Middle,20,1.62,13.06,2.35,19.66,77.0
6,340.0,0.08,1.2,D30,New,Middle,20,1.45,8.83,1.9,10.38,80.0
7,220.0,0.12,1.2,D30,New,Middle,20,1.56,7.02,1.86,7.4,118.0
8,340.0,0.12,1.2,D30,New,Middle,20,1.61,7.54,1.93,8.71,119.0
9,179.09,0.1,0.95,D30,New,Middle,20,1.44,8.31,1.79,10.2,87.0
10,380.91,0.1,0.95,D30,New,Middle,20,1.65,10.19,2.12,12.65,92.0
11,280.0,0.07,0.95,D30,New,Middle,20,2.06,9.84,2.44,10.85,165.0
12,280.0,0.13,0.95,D30,New,Middle,20,1.63,8.65,2.01,10.58,127.0
13,280.0,0.1,0.53,D30,New,Middle,20,1.09,5.83,1.34,7.16,93.0
14,280.0,0.1,1.37,D30,New,Middle,20,1.25,7.33,1.57,9.97,93.0
15,280.0,0.1,0.95,D30,New,Middle,20,1.23,6.09,1.49,7.39,99.0
16,280.0,0.1,0.95,D30,New,Middle,20,1.18,6.6,1.46,10.43,88.0
17,280.0,0.1,0.95,D30,New,Middle,20,1.17,6.22,1.43,6.86,88.0
1,220.0,0.08,0.7,D30,New,Middle,21,0.86,5.27,1.08,5.92,81.0
2,340.0,0.08,0.7,D30,New,Middle,21,0.99,5.52,1.23,6.04,78.0
3,220.0,0.12,0.7,D30,New,Middle,21,1.44,6.92,1.69,7.69,112.0
4,340.0,0.12,0.7,D30,New,Middle,21,1.51,6.95,1.77,7.8,116.0
5,220.0,0.08,1.2,D30,New,Middle,21,1.43,10.74,2.01,13.08,82.0
6,340.0,0.08,1.2,D30,New,Middle,21,1.52,8.67,1.92,10.78,73.0
7,220.0,0.12,1.2,D30,New,Middle,21,1.68,8.19,2.01,10.55,122.0
8,340.0,0.12,1.2,D30,New,Middle,21,1.5,7.14,1.8,7.56,119.0
9,179.09,0.1,0.95,D30,New,Middle,21,1.26,7.08,1.55,7.82,92.0
10,380.91,0.1,0.95,D30,New,Middle,21,1.53,8.11,1.91,10.99,93.0
11,280.0,0.07,0.95,D30,New,Middle,21,2.17,10.03,2.56,11.15,169.0
12,280.0,0.13,0.95,D30,New,Middle,21,1.36,7.05,1.65,7.69,127.0
13,280.0,0.1,0.53,D30,New,Middle,21,1.0,5.08,1.22,5.76,99.0
14,280.0,0.1,1.37,D30,New,Middle,21,1.16,5.71,1.4,6.31,102.0
15,280.0,0.1,0.95,D30,New,Middle,21,1.15,5.98,1.41,7.05,95.0
16,280.0,0.1,0.95,D30,New,Middle,21,1.17,6.26,1.42,6.66,96.0
17,280.0,0.1,0.95,D30,New,Middle,21,1.18,6.38,1.46,7.91,92.0
1,220.0,0.08,0.7,D30,New,Middle,22,1.03,7.42,1.31,7.7,77.0
2,340.0,0.08,0.7,D30,New,Middle,22,0.97,5.15,1.19,5.7,83.0
3,220.0,0.12,0.7,D30,New,Middle,22,1.43,5.76,1.64,6.48,118.0
4,340.0,0.12,0.7,D30,New,Middle,22,1.54,7.51,1.82,8.4,114.0
5,220.0,0.08,1.2,D30,New,Middle,22,1.73,10.3,2.29,14.51,101.0
6,340.0,0.08,1.2,D30,New,Middle,22,1.41,8.21,1.8,9.08,70.0
7,220.0,0.12,1.2,D30,New,Middle,22,1.41,6.67,1.68,7.75,118.0
8,340.0,0.12,1.2,D30,New,Middle,22,1.67,7.86,1.99,9.32,118.0
9,179.09,0.1,0.95,D30,New,Middle,22,1.42,7.44,1.75,8.79,91.0
10,380.91,0.1,0.95,D30,New,Middle,22,1.26,9.85,1.61,9.85,93.0
11,280.0,0.07,0.95,D30,New,Middle,22,1.96,9.04,2.32,10.55,146.0
12,280.0,0.13,0.95,D30,New,Middle,22,1.55,8.42,1.92,10.61,124.0
13,280.0,0.1,0.53,D30,New,Middle,22,1.11,5.65,1.36,6.6,100.0
14,280.0,0.1,1.37,D30,New,Middle,22,1.27,7.42,1.57,9.39,97.0
15,280.0,0.1,0.95,D30,New,Middle,22,1.16,6.04,1.42,6.38,94.0
16,280.0,0.1,0.95,D30,New,Middle,22,1.17,6.34,1.44,7.45,93.0
17,280.0,0.1,0.95,D30,New,Middle,22,1.14,6.14,1.4,6.63,98.0
1,220.0,0.08,0.7,D30,New,Middle,23,1.03,6.62,1.36,10.88,73.0
2,340.0,0.08,0.7,D30,New,Middle,23,0.99,5.43,1.22,5.8,81.0
3,220.0,0.12,0.7,D30,New,Middle,23,1.39,6.25,1.6,7.0,119.0
4,340.0,0.12,0.7,D30,New,Middle,23,1.44,6.66,1.7,7.73,119.0
5,220.0,0.08,1.2,D30,New,Middle,23,1.54,9.29,2.04,12.91,74.0
6,340.0,0.08,1.2,D30,New,Middle,23,1.52,8.44,1.92,10.09,79.0
7,220.0,0.12,1.2,D30,New,Middle,23,1.48,7.27,1.81,7.98,117.0
8,340.0,0.12,1.2,D30,New,Middle,23,1.55,7.36,1.85,8.27,114.0
9,179.09,0.1,0.95,D30,New,Middle,23,1.34,6.92,1.66,7.91,92.0
10,380.91,0.1,0.95,D30,New,Middle,23,1.35,9.12,1.74,12.08,93.0
11,280.0,0.07,0.95,D30,New,Middle,23,2.43,11.9,2.91,12.99,142.0
12,280.0,0.13,0.95,D30,New,Middle,23,1.6,8.82,1.97,11.74,130.0
13,280.0,0.1,0.53,D30,New,Middle,23,1.03,5.63,1.26,6.92,97.0
14,280.0,0.1,1.37,D30,New,Middle,23,1.4,7.48,1.71,9.66,99.0
15,280.0,0.1,0.95,D30,New,Middle,23,1.21,6.75,1.5,8.03,94.0
16,280.0,0.1,0.95,D30,New,Middle,23,1.12,6.09,1.38,6.72,87.0
17,280.0,0.1,0.95,D30,New,Middle,23,1.14,6.38,1.41,6.99,83.0
1,220.0,0.08,0.7,D30,New,Middle,24,0.89,5.3,1.1,6.89,82.0
2,340.0,0.08,0.7,D30,New,Middle,24,0.96,4.81,1.16,5.56,88.0
3,220.0,0.12,0.7,D30,New,Middle,24,1.39,6.15,1.6,6.78,118.0
4,340.0,0.12,0.7,D30,New,Middle,24,1.52,7.04,1.79,7.63,116.0
5,220.0,0.08,1.2,D30,New,Middle,24,1.19,7.69,1.55,11.87,81.0
6,340.0,0.08,1.2,D30,New,Middle,24,1.06,6.45,1.36,8.44,76.0
7,220.0,0.12,1.2,D30,New,Middle,24,1.62,8.39,1.97,9.98,112.0
8,340.0,0.12,1.2,D30,New,Middle,24,1.57,7.67,1.89,8.34,120.0
9,179.09,0.1,0.95,D30,New,Middle,24,1.31,7.31,1.62,8.53,84.0
10,380.91,0.1,0.95,D30,New,Middle,24,1.44,9.07,1.86,11.15,96.0
11,280.0,0.07,0.95,D30,New,Middle,24,2.41,11.76,2.88,12.92,146.0
12,280.0,0.13,0.95,D30,New,Middle,24,1.45,7.75,1.79,10.45,129.0
13,280.0,0.1,0.53,D30,New,Middle,24,1.07,5.55,1.31,6.07,95.0
14,280.0,0.1,1.37,D30,New,Middle,24,1.19,6.07,1.45,7.32,95.0
15,280.0,0.1,0.95,D30,New,Middle,24,1.21,6.28,1.47,7.07,94.0
16,280.0,0.1,0.95,D30,New,Middle,24,1.13,5.9,1.38,6.68,87.0
17,280.0,0.1,0.95,D30,New,Middle,24,1.18,6.43,1.45,6.98,80.0
1,220.0,0.08,0.7,D30,New,Chuck,25,0.99,6.0,1.26,9.48,76.0
2,340.0,0.08,0.7,D30,New,Chuck,25,1.18,8.23,1.53,10.74,77.0
3,220.0,0.12,0.7,D30,New,Chuck,25,1.5,6.94,1.73,8.73,118.0
4,340.0,0.12,0.7,D30,New,Chuck,25,1.5,6.66,1.76,7.72,119.0
5,220.0,0.08,1.2,D30,New,Chuck,25,2.08,11.96,2.74,19.45,86.0
6,340.0,0.08,1.2,D30,New,Chuck,25,1.52,9.68,1.99,1.88,80.0
7,220.0,0.12,1.2,D30,New,Chuck,25,1.51,6.84,1.81,7.36,118.0
8,340.0,0.12,1.2,D30,New,Chuck,25,1.75,8.23,2.07,9.41,117.0
9,179.09,0.1,0.95,D30,New,Chuck,25,1.47,8.46,1.83,10.43,96.0
10,380.91,0.1,0.95,D30,New,Chuck,25,1.28,9.04,1.67,10.09,93.0
11,280.0,0.07,0.95,D30,New,Chuck,25,1.16,7.62,1.57,12.92,72.0
12,280.0,0.13,0.95,D30,New,Chuck,25,1.57,8.4,1.95,13.9,128.0
13,280.0,0.1,0.53,D30,New,Chuck,25,1.05,5.28,1.28,5.62,98.0
14,280.0,0.1,1.37,D30,New,Chuck,25,1.23,7.56,1.53,8.9,98.0
15,280.0,0.1,0.95,D30,New,Chuck,25,1.31,7.56,1.68,14.15,93.0
16,280.0,0.1,0.95,D30,New,Chuck,25,1.18,6.8,1.47,8.86,95.0
17,280.0,0.1,0.95,D30,New,Chuck,25,1.17,6.19,1.44,6.76,86.0
1,220.0,0.08,0.7,D30,New,Chuck,26,0.98,6.74,1.3,9.82,78.0
2,340.0,0.08,0.7,D30,New,Chuck,26,0.95,5.38,1.19,6.4,87.0
3,220.0,0.12,0.7,D30,New,Chuck,26,1.46,6.48,1.69,7.22,118.0
4,340.0,0.12,0.7,D30,New,Chuck,26,1.53,7.16,1.78,8.9,118.0
5,220.0,0.08,1.2,D30,New,Chuck,26,2.11,12.54,2.81,17.8,95.0
6,340.0,0.08,1.2,D30,New,Chuck,26,1.57,9.75,2.04,14.14,71.0
7,220.0,0.12,1.2,D30,New,Chuck,26,1.58,8.0,1.92,10.92,118.0
8,340.0,0.12,1.2,D30,New,Chuck,26,1.65,7.88,1.96,8.75,118.0
9,179.09,0.1,0.95,D30,New,Chuck,26,1.5,8.96,1.89,11.12,96.0
10,380.91,0.1,0.95,D30,New,Chuck,26,1.36,9.01,1.81,11.6,93.0
11,280.0,0.07,0.95,D30,New,Chuck,26,1.09,8.05,1.45,10.21,75.0
12,280.0,0.13,0.95,D30,New,Chuck,26,1.48,8.08,1.82,9.59,125.0
13,280.0,0.1,0.53,D30,New,Chuck,26,1.09,5.55,1.32,6.13,99.0
14,280.0,0.1,1.37,D30,New,Chuck,26,1.37,7.79,1.69,9.25,88.0
15,280.0,0.1,0.95,D30,New,Chuck,26,1.11,6.13,1.37,9.59,90.0
16,280.0,0.1,0.95,D30,New,Chuck,26,1.09,5.55,1.33,5.94,87.0
17,280.0,0.1,0.95,D30,New,Chuck,26,1.19,6.42,1.45,7.28,94.0
1,220.0,0.08,0.7,D30,New,Chuck,27,0.84,5.17,1.04,6.22,73.0
2,340.0,0.08,0.7,D30,New,Chuck,27,1.01,5.96,1.25,6.65,89.0
3,220.0,0.12,0.7,D30,New,Chuck,27,1.46,6.46,1.69,7.38,115.0
4,340.0,0.12,0.7,D30,New,Chuck,27,1.46,6.83,1.71,7.94,119.0
5,220.0,0.08,1.2,D30,New,Chuck,27,1.98,11.73,2.57,15.56,78.0
6,340.0,0.08,1.2,D30,New,Chuck,27,1.79,9.78,2.24,13.15,74.0
7,220.0,0.12,1.2,D30,New,Chuck,27,1.56,7.17,1.86,8.37,118.0
8,340.0,0.12,1.2,D30,New,Chuck,27,1.62,7.56,1.93,8.57,118.0
9,179.09,0.1,0.95,D30,New,Chuck,27,1.2,6.77,1.48,8.7,98.0
10,380.91,0.1,0.95,D30,New,Chuck,27,1.37,8.6,1.75,12.42,96.0
11,280.0,0.07,0.95,D30,New,Chuck,27,1.09,7.2,1.35,12.81,61.0
12,280.0,0.13,0.95,D30,New,Chuck,27,1.66,8.56,2.02,10.23,124.0
13,280.0,0.1,0.53,D30,New,Chuck,27,1.21,7.07,1.5,8.97,97.0
14,280.0,0.1,1.37,D30,New,Chuck,27,1.15,6.31,1.4,7.37,99.0
15,280.0,0.1,0.95,D30,New,Chuck,27,1.14,5.79,1.4,6.3,96.0
16,280.0,0.1,0.95,D30,New,Chuck,27,1.18,7.0,1.47,9.05,83.0
17,280.0,0.1,0.95,D30,New,Chuck,27,1.21,6.52,1.49,8.15,83.0
1,220.0,0.08,0.7,D30,New,Chuck,28,1.34,8.6,1.82,11.45,85.0
2,340.0,0.08,0.7,D30,New,Chuck,28,0.99,6.09,1.24,8.53,80.0
3,220.0,0.12,0.7,D30,New,Chuck,28,1.44,6.56,1.67,8.13,119.0
4,340.0,0.12,0.7,D30,New,Chuck,28,1.5,7.06,1.75,7.56,117.0
5,220.0,0.08,1.2,D30,New,Chuck,28,1.41,8.52,1.8,10.51,83.0
6,340.0,0.08,1.2,D30,New,Chuck,28,1.57,9.38,2.0,11.45,73.0
7,220.0,0.12,1.2,D30,New,Chuck,28,1.73,9.26,2.1,11.54,115.0
8,340.0,0.12,1.2,D30,New,Chuck,28,1.5,7.22,1.8,8.15,122.0
9,179.09,0.1,0.95,D30,New,Chuck,28,1.37,7.95,1.69,9.98,94.0
10,380.91,0.1,0.95,D30,New,Chuck,28,1.35,9.0,1.78,11.43,93.0
11,280.0,0.07,0.95,D30,New,Chuck,28,1.16,7.47,1.49,9.95,62.0
12,280.0,0.13,0.95,D30,New,Chuck,28,1.47,8.06,1.7,8.74,128.0
13,280.0,0.1,0.53,D30,New,Chuck,28,1.05,5.32,1.29,5.87,99.0
14,280.0,0.1,1.37,D30,New,Chuck,28,1.39,7.99,1.74,11.96,91.0
15,280.0,0.1,0.95,D30,New,Chuck,28,1.28,7.08,1.58,7.93,95.0
16,280.0,0.1,0.95,D30,New,Chuck,28,1.15,6.18,1.4,7.01,92.0
17,280.0,0.1,0.95,D30,New,Chuck,28,1.16,6.55,1.44,7.73,85.0
1,220.0,0.08,0.7,D30,New,Chuck,29,1.31,9.44,1.84,14.87,76.0
2,340.0,0.08,0.7,D30,New,Chuck,29,1.04,5.4,1.25,7.44,79.0
3,220.0,0.12,0.7,D30,New,Chuck,29,1.47,6.22,1.69,6.73,119.0
4,340.0,0.12,0.7,D30,New,Chuck,29,1.52,7.17,1.77,8.08,140.0
5,220.0,0.08,1.2,D30,New,Chuck,29,1.36,9.75,1.92,13.2,73.0
6,340.0,0.08,1.2,D30,New,Chuck,29,1.52,9.08,1.93,10.13,76.0
7,220.0,0.12,1.2,D30,New,Chuck,29,1.59,7.14,1.89,8.35,118.0
8,340.0,0.12,1.2,D30,New,Chuck,29,1.63,7.53,1.92,8.66,118.0
9,179.09,0.1,0.95,D30,New,Chuck,29,1.51,8.06,1.89,8.78,95.0
10,380.91,0.1,0.95,D30,New,Chuck,29,1.33,8.45,1.72,11.45,83.0
11,280.0,0.07,0.95,D30,New,Chuck,29,1.56,10.1,2.08,14.92,62.0
12,280.0,0.13,0.95,D30,New,Chuck,29,1.58,7.65,1.9,8.83,129.0
13,280.0,0.1,0.53,D30,New,Chuck,29,1.16,6.89,1.42,8.2,94.0
14,280.0,0.1,1.37,D30,New,Chuck,29,1.27,7.21,1.57,8.73,93.0
15,280.0,0.1,0.95,D30,New,Chuck,29,1.24,7.01,1.55,8.83,95.0
16,280.0,0.1,0.95,D30,New,Chuck,29,1.14,6.05,1.4,8.52,85.0
17,280.0,0.1,0.95,D30,New,Chuck,29,1.14,6.28,1.41,6.88,87.0
1,220.0,0.08,0.7,D30,New,Chuck,30,1.35,9.74,1.89,12.65,72.0
2,340.0,0.08,0.7,D30,New,Chuck,30,0.96,5.28,1.19,6.35,84.0
3,220.0,0.12,0.7,D30,New,Chuck,30,1.56,8.01,1.84,10.99,118.0
4,340.0,0.12,0.7,D30,New,Chuck,30,1.47,6.9,1.72,7.43,118.0
5,220.0,0.08,1.2,D30,New,Chuck,30,1.78,11.0,2.28,13.97,87.0
6,340.0,0.08,1.2,D30,New,Chuck,30,1.42,8.55,1.82,10.54,70.0
7,220.0,0.12,1.2,D30,New,Chuck,30,1.59,6.98,1.87,7.23,118.0
8,340.0,0.12,1.2,D30,New,Chuck,30,1.54,7.05,1.83,7.54,120.0
9,179.09,0.1,0.95,D30,New,Chuck,30,1.37,7.47,1.67,9.34,92.0
10,380.91,0.1,0.95,D30,New,Chuck,30,1.5,9.62,1.96,11.58,88.0
11,280.0,0.07,0.95,D30,New,Chuck,30,1.12,8.2,1.49,10.19,72.0
12,280.0,0.13,0.95,D30,New,Chuck,30,1.65,8.49,1.99,10.0,126.0
13,280.0,0.1,0.53,D30,New,Chuck,30,1.14,6.66,1.41,10.39,99.0
14,280.0,0.1,1.37,D30,New,Chuck,30,1.16,6.41,1.42,8.25,96.0
15,280.0,0.1,0.95,D30,New,Chuck,30,1.27,9.69,1.56,9.44,95.0
16,280.0,0.1,0.95,D30,New,Chuck,30,1.24,7.88,1.66,16.49,92.0
17,280.0,0.1,0.95,D30,New,Chuck,30,1.17,6.13,1.44,7.26,86.0
1,220.0,0.08,0.7,D30,New,Chuck,31,1.06,8.21,1.46,12.26,71.0
2,340.0,0.08,0.7,D30,New,Chuck,31,1.13,6.97,1.43,9.5,84.0
3,220.0,0.12,0.7,D30,New,Chuck,31,1.52,7.04,1.76,8.99,119.0
4,340.0,0.12,0.7,D30,New,Chuck,31,1.49,7.1,1.75,7.97,118.0
5,220.0,0.08,1.2,D30,New,Chuck,31,1.66,10.34,2.18,11.57,76.0
6,340.0,0.08,1.2,D30,New,Chuck,31,1.56,8.55,1.93,10.36,73.0
7,220.0,0.12,1.2,D30,New,Chuck,31,1.56,7.3,1.86,9.05,119.0
8,340.0,0.12,1.2,D30,New,Chuck,31,1.54,8.06,1.88,9.91,116.0
9,179.09,0.1,0.95,D30,New,Chuck,31,1.4,8.14,1.73,10.77,90.0
10,380.91,0.1,0.95,D30,New,Chuck,31,1.39,9.21,1.8,11.22,103.0
11,280.0,0.07,0.95,D30,New,Chuck,31,1.33,8.57,1.75,10.76,67.0
12,280.0,0.13,0.95,D30,New,Chuck,31,1.6,9.51,2.01,14.87,128.0
13,280.0,0.1,0.53,D30,New,Chuck,31,1.07,5.44,1.3,6.02,98.0
14,280.0,0.1,1.37,D30,New,Chuck,31,1.27,7.31,1.56,9.12,99.0
15,280.0,0.1,0.95,D30,New,Chuck,31,1.28,7.43,1.57,10.47,94.0
16,280.0,0.1,0.95,D30,New,Chuck,31,1.06,5.16,1.29,5.93,82.0
17,280.0,0.1,0.95,D30,New,Chuck,31,1.17,6.04,1.43,6.6,81.0
1,220.0,0.08,0.7,D30,New,Chuck,32,0.88,5.76,1.13,8.76,77.0
2,340.0,0.08,0.7,D30,New,Chuck,32,1.03,6.0,1.27,7.73,77.0
3,220.0,0.12,0.7,D30,New,Chuck,32,1.53,6.75,1.77,8.09,119.0
4,340.0,0.12,0.7,D30,New,Chuck,32,1.49,7.1,1.75,7.97,118.0
5,220.0,0.08,1.2,D30,New,Chuck,32,1.52,10.4,2.08,13.71,77.0
6,340.0,0.08,1.2,D30,New,Chuck,32,1.61,9.2,2.0,10.6,71.0
7,220.0,0.12,1.2,D30,New,Chuck,32,1.62,8.13,1.96,11.29,115.0
8,340.0,0.12,1.2,D30,New,Chuck,32,1.72,7.73,2.05,8.42,113.0
9,179.09,0.1,0.95,D30,New,Chuck,32,1.31,8.08,1.67,11.21,88.0
10,380.91,0.1,0.95,D30,New,Chuck,32,1.52,9.7,2.01,11.86,96.0
11,280.0,0.07,0.95,D30,New,Chuck,32,1.11,7.05,1.46,10.91,66.0
12,280.0,0.13,0.95,D30,New,Chuck,32,1.36,6.72,1.65,7.29,130.0
13,280.0,0.1,0.53,D30,New,Chuck,32,1.11,5.81,1.36,7.93,99.0
14,280.0,0.1,1.37,D30,New,Chuck,32,1.21,6.51,1.48,7.89,97.0
15,280.0,0.1,0.95,D30,New,Chuck,32,1.21,6.73,1.48,8.78,96.0
16,280.0,0.1,0.95,D30,New,Chuck,32,1.1,5.97,1.35,7.26,85.0
17,280.0,0.1,0.95,D30,New,Chuck,32,1.16,6.37,1.43,7.29,86.0
1,220.0,0.08,0.7,D30,New,Chuck,33,1.02,7.46,1.38,13.57,75.0
2,340.0,0.08,0.7,D30,New,Chuck,33,0.97,6.0,1.22,7.67,74.0
3,220.0,0.12,0.7,D30,New,Chuck,33,1.43,6.16,1.64,6.88,118.0
4,340.0,0.12,0.7,D30,New,Chuck,33,1.46,7.08,1.72,8.35,119.0
5,220.0,0.08,1.2,D30,New,Chuck,33,2.02,12.14,2.62,16.92,84.0
6,340.0,0.08,1.2,D30,New,Chuck,33,1.82,9.77,2.29,13.13,70.0
7,220.0,0.12,1.2,D30,New,Chuck,33,1.51,6.64,1.79,7.24,119.0
8,340.0,0.12,1.2,D30,New,Chuck,33,1.63,7.68,1.94,8.98,119.0
9,179.09,0.1,0.95,D30,New,Chuck,33,1.18,6.18,1.44,7.64,99.0
10,380.91,0.1,0.95,D30,New,Chuck,33,1.47,8.96,1.88,11.66,90.0
11,280.0,0.07,0.95,D30,New,Chuck,33,1.19,7.85,1.61,11.8,83.0
12,280.0,0.13,0.95,D30,New,Chuck,33,1.53,8.05,1.89,9.66,128.0
13,280.0,0.1,0.53,D30,New,Chuck,33,1.04,5.49,1.28,6.02,98.0
14,280.0,0.1,1.37,D30,New,Chuck,33,1.17,6.26,1.43,8.83,99.0
15,280.0,0.1,0.95,D30,New,Chuck,33,1.19,5.91,1.44,6.91,101.0
16,280.0,0.1,0.95,D30,New,Chuck,33,1.08,5.64,1.32,6.15,90.0
17,280.0,0.1,0.95,D30,New,Chuck,33,1.15,6.12,1.41,6.73,91.0
1,220.0,0.08,0.7,D30,New,Chuck,34,0.98,6.56,1.29,9.05,80.0
2,340.0,0.08,0.7,D30,New,Chuck,34,1.11,6.75,1.38,7.52,78.0
3,220.0,0.12,0.7,D30,New,Chuck,34,1.45,6.69,1.67,7.53,118.0
4,340.0,0.12,0.7,D30,New,Chuck,34,1.46,6.71,1.7,7.32,115.0
5,220.0,0.08,1.2,D30,New,Chuck,34,1.47,9.68,2.02,12.19,78.0
6,340.0,0.08,1.2,D30,New,Chuck,34,1.81,9.98,2.26,10.91,68.0
7,220.0,0.12,1.2,D30,New,Chuck,34,1.49,6.86,1.79,7.34,119.0
8,340.0,0.12,1.2,D30,New,Chuck,34,1.67,8.1,2.0,9.96,107.0
9,179.09,0.1,0.95,D30,New,Chuck,34,1.51,8.71,1.87,9.48,90.0
10,380.91,0.1,0.95,D30,New,Chuck,34,1.41,10.03,1.88,11.25,92.0
11,280.0,0.07,0.95,D30,New,Chuck,34,1.72,11.25,2.3,16.69,78.0
12,280.0,0.13,0.95,D30,New,Chuck,34,1.41,7.61,1.71,9.17,127.0
13,280.0,0.1,0.53,D30,New,Chuck,34,1.06,5.39,1.29,5.71,98.0
14,280.0,0.1,1.37,D30,New,Chuck,34,1.26,6.81,1.54,9.85,89.0
15,280.0,0.1,0.95,D30,New,Chuck,34,1.16,6.04,1.42,7.01,97.0
16,280.0,0.1,0.95,D30,New,Chuck,34,1.2,6.52,1.47,8.93,89.0
17,280.0,0.1,0.95,D30,New,Chuck,34,1.2,6.79,1.48,7.9,85.0
1,220.0,0.08,0.7,D30,New,Chuck,35,0.97,6.22,1.22,8.39,72.0
2,340.0,0.08,0.7,D30,New,Chuck,35,0.92,5.8,1.18,8.2,76.0
3,220.0,0.12,0.7,D30,New,Chuck,35,1.51,7.08,1.76,8.06,118.0
4,340.0,0.12,0.7,D30,New,Chuck,35,1.48,7.21,1.73,8.44,115.0
5,220.0,0.08,1.2,D30,New,Chuck,35,1.7,10.01,2.21,14.28,82.0
6,340.0,0.08,1.2,D30,New,Chuck,35,1.37,8.43,1.74,9.97,76.0
7,220.0,0.12,1.2,D30,New,Chuck,35,1.64,8.3,2.01,14.24,119.0
8,340.0,0.12,1.2,D30,New,Chuck,35,1.6,7.92,1.92,10.55,114.0
9,179.09,0.1,0.95,D30,New,Chuck,35,1.41,7.79,1.77,8.78,93.0
10,380.91,0.1,0.95,D30,New,Chuck,35,1.59,9.96,2.09,11.78,100.0
11,280.0,0.07,0.95,D30,New,Chuck,35,1.72,11.54,2.32,17.41,78.0
12,280.0,0.13,0.95,D30,New,Chuck,35,1.54,8.03,1.87,9.51,119.0
13,280.0,0.1,0.53,D30,New,Chuck,35,1.08,5.25,1.31,5.63,98.0
14,280.0,0.1,1.37,D30,New,Chuck,35,1.36,7.66,1.69,9.6,93.0
15,280.0,0.1,0.95,D30,New,Chuck,35,1.11,5.95,1.36,7.67,92.0
16,280.0,0.1,0.95,D30,New,Chuck,35,1.11,5.61,1.36,6.0,89.0
17,280.0,0.1,0.95,D30,New,Chuck,35,1.1,5.86,1.35,6.35,88.0
1,220.0,0.08,0.7,D30,New,Chuck,36,0.83,4.94,1.05,6.29,72.0
2,340.0,0.08,0.7,D30,New,Chuck,36,0.96,5.99,1.23,10.0,85.0
3,220.0,0.12,0.7,D30,New,Chuck,36,1.46,6.61,1.67,8.01,119.0
4,340.0,0.12,0.7,D30,New,Chuck,36,1.46,6.71,1.7,7.49,118.0
5,220.0,0.08,1.2,D30,New,Chuck,36,1.22,9.07,1.72,15.59,72.0
6,340.0,0.08,1.2,D30,New,Chuck,36,1.64,9.27,2.07,13.55,77.0
7,220.0,0.12,1.2,D30,New,Chuck,36,1.53,6.74,1.82,7.11,115.0
8,340.0,0.12,1.2,D30,New,Chuck,36,1.55,7.43,1.86,8.06,115.0
9,179.09,0.1,0.95,D30,New,Chuck,36,1.19,7.1,1.51,9.56,95.0
10,380.91,0.1,0.95,D30,New,Chuck,36,1.38,8.84,1.78,10.58,94.0
11,280.0,0.07,0.95,D30,New,Chuck,36,0.91,5.85,1.17,7.68,72.0
