Number,Vc,f,d,Ï•,VB,P,Replicate,Ra,Rz,Rq,Rt,Sm
1,220.0,0.08,0.7,D30,New,Live centre,5,3.93,18.02,4.66,19.3,212.0
2,340.0,0.08,0.7,D30,New,Live centre,5,4.06,16.56,4.74,18.23,215.0
3,220.0,0.12,0.7,D30,New,Live centre,5,3.37,14.23,3.78,15.6,236.0
4,340.0,0.12,0.7,D30,New,Live centre,5,1.64,8.67,2.02,10.14,116.0
5,220.0,0.08,1.2,D30,New,Live centre,5,9.51,38.44,11.2,41.09,461.0
6,340.0,0.08,1.2,D30,New,Live centre,5,4.16,17.58,4.94,28.89,205.0
7,220.0,0.12,1.2,D30,New,Live centre,5,2.06,10.19,2.47,13.72,156.0
8,340.0,0.12,1.2,D30,New,Live centre,5,2.83,12.6,3.32,17.36,208.0
9,179.09,0.1,0.95,D30,New,Live centre,5,5.1,21.38,5.96,23.55,272.0
10,380.91,0.1,0.95,D30,New,Live centre,5,3.59,17.4,4.4,18.27,193.0
11,280.0,0.07,0.95,D30,New,Live centre,5,4.06,18.26,4.84,19.62,208.0
12,280.0,0.13,0.95,D30,New,Live centre,5,3.39,14.64,3.93,16.9,215.0
13,280.0,0.1,0.53,D30,New,Live centre,5,1.16,6.52,1.43,7.53,107.0
14,280.0,0.1,1.37,D30,New,Live centre,5,5.55,24.88,6.63,26.68,263.0
15,280.0,0.1,0.95,D30,New,Live centre,5,6.57,28.82,7.81,31.81,342.0
16,280.0,0.1,0.95,D30,New,Live centre,5,6.58,26.95,7.68,29.43,310.0
17,280.0,0.1,0.95,D30,New,Live centre,5,6.04,25.8,7.14,29.28,380.0
1,220.0,0.08,0.7,D30,New,Live centre,6,4.04,18.43,4.82,19.68,212.0
2,340.0,0.08,0.7,D30,New,Live centre,6,3.75,16.06,4.43,18.82,202.0
3,220.0,0.12,0.7,D30,New,Live centre,6,3.24,13.9,3.73,15.13,190.0
4,340.0,0.12,0.7,D30,New,Live centre,6,1.55,7.83,1.87,9.31,118.0
5,220.0,0.08,1.2,D30,New,Live centre,6,8.6,35.68,10.23,38.34,468.0
6,340.0,0.08,1.2,D30,New,Live centre,6,4.25,18.09,4.99,19.8,241.0
7,220.0,0.12,1.2,D30,New,Live centre,6,1.99,9.91,2.4,13.19,134.0
8,340.0,0.12,1.2,D30,New,Live centre,6,4.36,18.42,5.08,22.04,269.0
9,179.09,0.1,0.95,D30,New,Live centre,6,4.4,17.84,5.14,21.16,247.0
10,380.91,0.1,0.95,D30,New,Live centre,6,4.45,19.63,5.24,23.51,246.0
11,280.0,0.07,0.95,D30,New,Live centre,6,4.17,19.15,4.98,21.52,224.0
12,280.0,0.13,0.95,D30,New,Live centre,6,3.39,14.83,3.95,16.28,238.0
13,280.0,0.1,0.53,D30,New,Live centre,6,1.34,7.05,1.62,7.94,120.0
14,280.0,0.1,1.37,D30,New,Live centre,6,5.33,23.88,6.29,26.26,272.0
15,280.0,0.1,0.95,D30,New,Live centre,6,7.05,29.27,8.26,31.05,350.0
16,280.0,0.1,0.95,D30,New,Live centre,6,6.14,26.57,7.24,28.33,330.0
17,280.0,0.1,0.95,D30,New,Live centre,6,7.27,26.97,8.21,28.7,395.0
1,220.0,0.08,0.7,D30,New,Live centre,7,3.65,17.77,4.39,19.71,213.0
2,340.0,0.08,0.7,D30,New,Live centre,7,3.96,16.18,4.61,18.05,226.0
3,220.0,0.12,0.7,D30,New,Live centre,7,4.39,17.31,4.95,19.22,391.0
4,340.0,0.12,0.7,D30,New,Live centre,7,1.54,7.56,1.85,8.81,123.0
5,220.0,0.08,1.2,D30,New,Live centre,7,9.71,39.03,11.44,42.67,460.0
6,340.0,0.08,1.2,D30,New,Live centre,7,4.26,18.66,5.04,20.32,205.0
7,220.0,0.12,1.2,D30,New,Live centre,7,1.88,9.66,2.28,11.53,141.0
8,340.0,0.12,1.2,D30,New,Live centre,7,3.49,15.13,4.11,23.13,202.0
9,179.09,0.1,0.95,D30,New,Live centre,7,4.63,20.5,5.54,23.72,227.0
