Number,Vc,f,ap,Stiffness,Wear,Position,Block,Ra,Ry,Rz,Rq,Rt,Sm
3,220.00,0.12,0.70,D30,Worn,Centre,Run 1,1.86,13.69,11.15,2.33,13.69,106.00
4,340.00,0.12,0.70,D30,Worn,Centre,Run 1,3.17,16.27,15.28,3.74,16.27,151.00
5,220.00,0.08,1.20,D30,Worn,Centre,Run 1,2.15,13.30,11.90,2.62,14.43,115.00
6,340.00,0.08,1.20,D30,Worn,Centre,Run 1,8.10,38.43,37.45,9.68,39.94,440.00
7,220.00,0.12,1.20,D30,Worn,Centre,Run 1,3.27,30.42,19.48,4.20,30.42,136.00
8,340.00,0.12,1.20,D30,Worn,Centre,Run 1,5.53,29.28,26.51,6.70,29.28,195.00
9,179.09,0.10,0.95,D30,Worn,Centre,Run 1,3.29,19.01,16.49,3.95,20.67,159.00
10,380.91,0.10,0.95,D30,Worn,Centre,Run 1,4.54,21.44,20.12,5.34,22.07,177.00
11,280.00,0.07,0.95,D30,Worn,Centre,Run 1,2.57,12.87,12.49,3.03,13.36,111.00
12,280.00,0.13,0.95,D30,Worn,Centre,Run 1,1.67,11.25,10.08,2.14,11.53,95.00
13,280.00,0.10,0.53,D30,Worn,Centre,Run 1,2.51,18.67,13.48,3.08,19.05,118.00
14,280.00,0.10,1.37,D30,Worn,Centre,Run 1,3.50,26.58,20.25,4.32,26.89,131.00
15,280.00,0.10,0.95,D30,Worn,Centre,Run 1,3.15,17.27,15.53,3.71,17.27,119.00
16,280.00,0.10,0.95,D30,Worn,Centre,Run 1,2.99,21.34,16.71,3.67,21.34,109.00
17,280.00,0.10,0.95,D30,Worn,Centre,Run 1,3.07,20.24,16.62,3.72,20.24,129.00
1,220.00,0.08,0.70,D30,Worn,Centre,Run 2,0.91,5.21,4.30,1.08,5.46,81.00
2,340.00,0.08,0.70,D30,Worn,Centre,Run 2,3.47,22.88,17.04,4.23,22.88,149.00
3,220.00,0.12,0.70,D30,Worn,Centre,Run 2,1.69,10.41,9.78,2.08,10.92,87.00
4,340.00,0.12,0.70,D30,Worn,Centre,Run 2,3.39,16.65,15.87,3.98,17.22,152.00
5,220.00,0.08,1.20,D30,Worn,Centre,Run 2,2.38,26.79,14.53,3.10,26.79,121.00
6,340.00,0.08,1.20,D30,Worn,Centre,Run 2,6.70,34.14,32.48,8.07,34.14,395.00
7,220.00,0.12,1.20,D30,Worn,Centre,Run 2,2.82,15.02,14.21,3.36,16.30,146.00
8,340.00,0.12,1.20,D30,Worn,Centre,Run 2,4.54,26.79,22.87,5.49,27.94,148.00
9,179.09,0.10,0.95,D30,Worn,Centre,Run 2,3.86,20.06,18.02,4.60,20.24,173.00
10,380.91,0.10,0.95,D30,Worn,Centre,Run 2,4.35,23.30,19.58,5.06,23.30,218.00
11,280.00,0.07,0.95,D30,Worn,Centre,Run 2,2.80,13.44,13.12,3.27,13.89,141.00
12,280.00,0.13,0.95,D30,Worn,Centre,Run 2,1.86,14.51,11.66,2.43,14.62,79.00
13,280.00,0.10,0.53,D30,Worn,Centre,Run 2,2.43,12.74,12.06,2.89,12.81,122.00
14,280.00,0.10,1.37,D30,Worn,Centre,Run 2,3.55,22.58,19.25,4.35,22.97,144.00
15,280.00,0.10,0.95,D30,Worn,Centre,Run 2,2.79,14.80,14.57,3.31,16.48,122.00
16,280.00,0.10,0.95,D30,Worn,Centre,Run 2,2.73,27.85,15.10,3.44,27.85,100.00
17,280.00,0.10,0.95,D30,Worn,Centre,Run 2,3.33,25.84,17.53,4.04,25.84,120.00
1,220.00,0.08,0.70,D30,Worn,Centre,Run 3,0.86,5.26,4.27,1.05,5.45,72.00
2,340.00,0.08,0.70,D30,Worn,Centre,Run 3,3.19,16.66,15.88,3.92,16.84,128.00
3,220.00,0.12,0.70,D30,Worn,Centre,Run 3,1.76,10.68,9.71,2.19,10.68,101.00
4,340.00,0.12,0.70,D30,Worn,Centre,Run 3,3.07,15.78,15.09,3.64,16.70,136.00
5,220.00,0.08,1.20,D30,Worn,Centre,Run 3,2.11,13.82,12.60,2.66,14.99,107.00
6,340.00,0.08,1.20,D30,Worn,Centre,Run 3,6.29,37.86,33.81,7.67,37.86,337.00
7,220.00,0.12,1.20,D30,Worn,Centre,Run 3,3.22,21.96,17.94,3.92,21.96,136.00
8,340.00,0.12,1.20,D30,Worn,Centre,Run 3,6.25,42.38,29.23,7.57,43.14,262.00
9,179.09,0.10,0.95,D30,Worn,Centre,Run 3,3.76,21.86,20.03,4.61,21.86,138.00
10,380.91,0.10,0.95,D30,Worn,Centre,Run 3,3.94,22.04,18.38,4.63,22.04,154.00
11,280.00,0.07,0.95,D30,Worn,Centre,Run 3,3.28,18.49,15.93,3.90,18.59,195.00
12,280.00,0.13,0.95,D30,Worn,Centre,Run 3,1.86,11.22,10.72,2.37,11.81,97.00
13,280.00,0.10,0.53,D30,Worn,Centre,Run 3,2.33,13.43,12.48,2.83,14.52,134.00
14,280.00,0.10,1.37,D30,Worn,Centre,Run 3,3.37,19.95,16.67,4.00,20.07,128.00
15,280.00,0.10,0.95,D30,Worn,Centre,Run 3,3.19,19.51,16.19,3.77,19.51,122.00
16,280.00,0.10,0.95,D30,Worn,Centre,Run 3,2.25,10.66,10.27,2.62,11.42,97.00
17,280.00,0.10,0.95,D30,Worn,Centre,Run 3,3.71,20.83,18.83,4.50,22.36,129.00
1,220.00,0.08,0.70,D30,Worn,Centre,Run 4,0.89,7.09,4.55,1.11,7.09,70.00
2,340.00,0.08,0.70,D30,Worn,Centre,Run 4,3.18,24.90,16.73,3.92,24.90,149.00
3,220.00,0.12,0.70,D30,Worn,Centre,Run 4,2.00,11.27,10.33,2.45,11.47,113.00
4,340.00,0.12,0.70,D30,Worn,Centre,Run 4,3.18,16.79,15.45,3.79,16.98,145.00
5,220.00,0.08,1.20,D30,Worn,Centre,Run 4,2.29,19.20,13.98,2.97,21.35,101.00
6,340.00,0.08,1.20,D30,Worn,Centre,Run 4,8.26,41.86,39.49,9.88,43.18,464.00
7,220.00,0.12,1.20,D30,Worn,Centre,Run 4,3.11,22.29,16.74,3.85,24.26,154.00
8,340.00,0.12,1.20,D30,Worn,Centre,Run 4,5.98,32.57,26.26,7.15,32.57,254.00
9,179.09,0.10,0.95,D30,Worn,Centre,Run 4,3.27,23.72,16.57,3.96,23.72,193.00
10,380.91,0.10,0.95,D30,Worn,Centre,Run 4,4.37,22.04,19.42,5.13,22.24,179.00
11,280.00,0.07,0.95,D30,Worn,Centre,Run 4,2.60,16.74,13.54,3.19,17.22,138.00
12,280.00,0.13,0.95,D30,Worn,Centre,Run 4,1.97,13.59,11.27,2.48,13.71,96.00
13,280.00,0.10,0.53,D30,Worn,Centre,Run 4,2.67,15.03,13.11,3.21,15.03,128.00
14,280.00,0.10,1.37,D30,Worn,Centre,Run 4,3.01,18.90,16.03,3.67,18.91,108.00
15,280.00,0.10,0.95,D30,Worn,Centre,Run 4,3.13,17.71,14.90,3.65,17.71,124.00
16,280.00,0.10,0.95,D30,Worn,Centre,Run 4,2.79,21.01,15.53,3.50,21.01,97.00
17,280.00,0.10,0.95,D30,Worn,Centre,Run 4,3.42,29.46,17.54,4.32,29.46,118.00
1,220.00,0.08,0.70,D30,Worn,Centre,Run 5,0.89,5.28,4.61,1.08,5.38,69.00
2,340.00,0.08,0.70,D30,Worn,Centre,Run 5,3.01,20.97,15.71,3.73,21.34,127.00
3,220.00,0.12,0.70,D30,Worn,Centre,Run 5,1.85,12.78,10.46,2.29,12.78,106.00
4,340.00,0.12,0.70,D30,Worn,Centre,Run 5,3.65,20.03,17.55,4.31,20.51,153.00
5,220.00,0.08,1.20,D30,Worn,Centre,Run 5,2.37,14.77,12.87,2.94,16.28,114.00
6,340.00,0.08,1.20,D30,Worn,Centre,Run 5,7.13,34.83,33.82,8.56,36.27,418.00
7,220.00,0.12,1.20,D30,Worn,Centre,Run 5,2.89,18.20,14.04,3.42,18.20,128.00
8,340.00,0.12,1.20,D30,Worn,Centre,Run 5,5.10,29.11,23.91,6.15,29.11,155.00
9,179.09,0.10,0.95,D30,Worn,Centre,Run 5,3.79,25.83,20.14,4.64,26.61,163.00
10,380.91,0.10,0.95,D30,Worn,Centre,Run 5,4.16,19.28,18.72,4.86,19.56,179.00
11,280.00,0.07,0.95,D30,Worn,Centre,Run 5,2.68,14.13,12.52,3.16,14.13,126.00
12,280.00,0.13,0.95,D30,Worn,Centre,Run 5,1.73,11.97,10.60,2.21,12.66,96.00
13,280.00,0.10,0.53,D30,Worn,Centre,Run 5,2.86,16.89,14.18,3.39,16.93,132.00
14,280.00,0.10,1.37,D30,Worn,Centre,Run 5,3.12,20.23,15.79,3.71,20.23,137.00
15,280.00,0.10,0.95,D30,Worn,Centre,Run 5,2.77,17.15,15.11,3.35,17.15,101.00
16,280.00,0.10,0.95,D30,Worn,Centre,Run 5,3.13,23.63,18.21,3.95,23.77,102.00
17,280.00,0.10,0.95,D30,Worn,Centre,Run 5,3.01,20.62,16.15,3.62,20.62,113.00
1,220.00,0.08,0.70,D30,Worn,Centre,Run 6,0.88,6.37,4.72,1.09,7.17,76.00
2,340.00,0.08,0.70,D30,Worn,Centre,Run 6,3.24,16.59,15.76,3.93,17.01,147.00
3,220.00,0.12,0.70,D30,Worn,Centre,Run 6,1.66,10.79,9.59,2.05,10.97,98.00
4,340.00,0.12,0.70,D30,Worn,Centre,Run 6,3.18,16.38,15.24,3.74,16.38,167.00
5,220.00,0.08,1.20,D30,Worn,Centre,Run 6,2.26,14.14,13.12,2.80,14.90,108.00
6,340.00,0.08,1.20,D30,Worn,Centre,Run 6,6.72,35.30,32.96,8.03,36.60,364.00
7,220.00,0.12,1.20,D30,Worn,Centre,Run 6,3.24,27.79,17.54,4.05,27.79,131.00
8,340.00,0.12,1.20,D30,Worn,Centre,Run 6,4.77,25.69,23.28,5.83,27.67,152.00
9,179.09,0.10,0.95,D30,Worn,Centre,Run 6,4.01,23.17,20.36,4.85,24.61,155.00
10,380.91,0.10,0.95,D30,Worn,Centre,Run 6,4.14,21.06,19.30,4.87,22.49,183.00
11,280.00,0.07,0.95,D30,Worn,Centre,Run 6,2.82,16.59,13.59,3.33,16.59,138.00
12,280.00,0.13,0.95,D30,Worn,Centre,Run 6,1.61,10.64,10.27,2.10,11.47,96.00
13,280.00,0.10,0.53,D30,Worn,Centre,Run 6,2.48,12.88,12.01,2.95,13.13,126.00
14,280.00,0.10,1.37,D30,Worn,Centre,Run 6,3.15,18.48,16.51,3.76,19.39,120.00
15,280.00,0.10,0.95,D30,Worn,Centre,Run 6,2.84,16.82,14.67,3.42,16.82,105.00
16,280.00,0.10,0.95,D30,Worn,Centre,Run 6,2.74,24.60,15.92,3.46,24.68,95.00
17,280.00,0.10,0.95,D30,Worn,Centre,Run 6,3.35,22.92,17.75,4.07,22.92,125.00
1,220.00,0.08,0.70,D30,Worn,Centre,Run 7,0.81,4.35,3.92,0.98,4.55,63.00
2,340.00,0.08,0.70,D30,Worn,Centre,Run 7,2.85,15.96,14.14,3.45,15.96,130.00
3,220.00,0.12,0.70,D30,Worn,Centre,Run 7,1.67,10.47,9.68,2.08,10.68,110.00
4,340.00,0.12,0.70,D30,Worn,Centre,Run 7,3.32,16.97,15.69,3.91,16.97,156.00
5,220.00,0.08,1.20,D30,Worn,Centre,Run 7,2.19,14.84,12.20,2.68,15.90,117.00
6,340.00,0.08,1.20,D30,Worn,Centre,Run 7,8.13,42.12,38.77,9.69,44.12,464.00
7,220.00,0.12,1.20,D30,Worn,Centre,Run 7,3.21,23.44,17.43,3.92,23.44,144.00
8,340.00,0.12,1.20,D30,Worn,Centre,Run 7,5.47,33.14,26.97,6.66,33.14,231.00
9,179.09,0.10,0.95,D30,Worn,Centre,Run 7,3.19,20.40,18.06,4.00,22.36,125.00
10,380.91,0.10,0.95,D30,Worn,Centre,Run 7,4.47,23.87,20.81,5.20,24.62,227.00
11,280.00,0.07,0.95,D30,Worn,Centre,Run 7,2.71,15.85,14.16,3.30,15.85,142.00
12,280.00,0.13,0.95,D30,Worn,Centre,Run 7,2.04,13.93,12.21,2.61,14.54,88.00
13,280.00,0.10,0.53,D30,Worn,Centre,Run 7,2.63,14.44,13.18,3.14,14.70,121.00
14,280.00,0.10,1.37,D30,Worn,Centre,Run 7,3.08,16.56,14.75,3.63,16.84,134.00
15,280.00,0.10,0.95,D30,Worn,Centre,Run 7,3.14,18.41,15.34,3.73,18.41,123.00
16,280.00,0.10,0.95,D30,Worn,Centre,Run 7,3.16,20.00,18.36,3.97,28.80,128.00
17,280.00,0.10,0.95,D30,Worn,Centre,Run 7,3.00,20.83,15.37,3.66,23.30,123.00
1,220.00,0.08,0.70,D30,Worn,Centre,Run 8,0.88,6.01,4.31,1.05,6.01,77.00
2,340.00,0.08,0.70,D30,Worn,Centre,Run 8,3.02,16.87,15.06,3.66,16.87,128.00
3,220.00,0.12,0.70,D30,Worn,Centre,Run 8,1.94,15.52,10.48,2.47,15.52,86.00
4,340.00,0.12,0.70,D30,Worn,Centre,Run 8,3.27,16.83,15.51,3.84,18.33,147.00
5,220.00,0.08,1.20,D30,Worn,Centre,Run 8,2.25,14.25,11.69,2.67,14.67,159.00
6,340.00,0.08,1.20,D30,Worn,Centre,Run 8,6.76,38.83,35.87,8.28,38.83,450.00
7,220.00,0.12,1.20,D30,Worn,Centre,Run 8,3.08,20.14,15.46,3.67,20.14,141.00
8,340.00,0.12,1.20,D30,Worn,Centre,Run 8,5.31,27.58,23.82,6.28,29.80,185.00
9,179.09,0.10,0.95,D30,Worn,Centre,Run 8,3.55,20.47,18.45,4.36,21.14,129.00
10,380.91,0.10,0.95,D30,Worn,Centre,Run 8,4.37,21.17,19.79,5.07,21.61,203.00
11,280.00,0.07,0.95,D30,Worn,Centre,Run 8,2.79,14.19,13.09,3.32,14.19,130.00
12,280.00,0.13,0.95,D30,Worn,Centre,Run 8,1.82,14.90,11.49,2.41,14.90,99.00
13,280.00,0.10,0.53,D30,Worn,Centre,Run 8,2.81,14.81,13.79,3.33,15.22,123.00
14,280.00,0.10,1.37,D30,Worn,Centre,Run 8,3.31,17.97,16.32,3.97,18.17,132.00
15,280.00,0.10,0.95,D30,Worn,Centre,Run 8,3.25,18.47,17.13,3.91,18.47,116.00
16,280.00,0.10,0.95,D30,Worn,Centre,Run 8,2.78,22.50,14.09,3.37,23.26,99.00
17,280.00,0.10,0.95,D30,Worn,Centre,Run 8,3.14,16.39,15.14,3.70,16.64,127.00
1,220.00,0.08,0.70,D30,Worn,Centre,Run 9,0.90,5.73,4.84,1.11,5.93,69.00
2,340.00,0.08,0.70,D30,Worn,Centre,Run 9,3.21,16.63,15.88,3.88,17.48,130.00
3,220.00,0.12,0.70,D30,Worn,Centre,Run 9,1.88,11.78,10.52,2.40,11.91,90.00
4,340.00,0.12,0.70,D30,Worn,Centre,Run 9,3.22,16.58,15.68,3.80,17.44,143.00
5,220.00,0.08,1.20,D30,Worn,Centre,Run 9,2.45,24.76,16.52,3.30,26.03,120.00
6,340.00,0.08,1.20,D30,Worn,Centre,Run 9,6.86,41.58,37.98,8.38,41.58,409.00
7,220.00,0.12,1.20,D30,Worn,Centre,Run 9,2.99,23.10,15.79,3.63,23.25,122.00
8,340.00,0.12,1.20,D30,Worn,Centre,Run 9,5.60,37.64,28.89,7.20,39.16,186.00
9,179.09,0.10,0.95,D30,Worn,Centre,Run 9,4.17,29.80,20.20,4.99,29.80,153.00
10,380.91,0.10,0.95,D30,Worn,Centre,Run 9,3.96,23.19,18.97,4.68,23.89,160.00
11,280.00,0.07,0.95,D30,Worn,Centre,Run 9,3.05,16.24,15.05,3.66,17.65,132.00
12,280.00,0.13,0.95,D30,Worn,Centre,Run 9,1.66,11.21,10.11,2.17,12.09,108.00
13,280.00,0.10,0.53,D30,Worn,Centre,Run 9,2.53,14.84,13.40,13.07,15.46,137.00
14,280.00,0.10,1.37,D30,Worn,Centre,Run 9,3.73,29.27,18.71,4.57,29.27,134.00
15,280.00,0.10,0.95,D30,Worn,Centre,Run 9,3.18,20.97,16.92,3.89,22.26,105.00
16,280.00,0.10,0.95,D30,Worn,Centre,Run 9,2.32,12.86,10.79,2.72,12.86,98.00
17,280.00,0.10,0.95,D30,Worn,Centre,Run 9,3.39,21.02,16.64,4.03,21.44,125.00
1,220.00,0.08,0.70,D30,Worn,Centre,Run 10,0.77,4.61,4.02,0.95,5.03,60.00
2,340.00,0.08,0.70,D30,Worn,Centre,Run 10,3.05,20.84,15.67,3.77,20.84,121.00
3,220.00,0.12,0.70,D30,Worn,Centre,Run 10,1.76,12.03,9.65,2.15,12.03,108.00
4,340.00,0.12,0.70,D30,Worn,Centre,Run 10,3.18,15.44,14.51,3.75,15.95,143.00
5,220.00,0.08,1.20,D30,Worn,Centre,Run 10,2.07,15.02,12.57,2.59,17.19,107.00
6,340.00,0.08,1.20,D30,Worn,Centre,Run 10,8.01,41.03,38.31,9.56,41.85,453.00
7,220.00,0.12,1.20,D30,Worn,Centre,Run 10,3.08,16.37,14.08,3.62,16.37,143.00
8,340.00,0.12,1.20,D30,Worn,Centre,Run 10,6.41,36.75,29.46,7.79,37.90,158.00
9,179.09,0.10,0.95,D30,Worn,Centre,Run 10,3.06,17.59,14.20,3.62,17.59,137.00
10,380.91,0.10,0.95,D30,Worn,Centre,Run 10,4.85,22.53,21.03,5.66,22.53,178.00
11,280.00,0.07,0.95,D30,Worn,Centre,Run 10,2.69,14.28,12.96,3.27,14.84,122.00
12,280.00,0.13,0.95,D30,Worn,Centre,Run 10,1.83,11.57,10.25,2.34,11.93,85.00
13,280.00,0.10,0.53,D30,Worn,Centre,Run 10,2.71,14.14,12.97,3.23,15.48,134.00
14,280.00,0.10,1.37,D30,Worn,Centre,Run 10,3.14,15.40,14.40,3.68,17.00,130.00
15,280.00,0.10,0.95,D30,Worn,Centre,Run 10,3.31,17.16,15.58,3.85,17.16,135.00
16,280.00,0.10,0.95,D30,Worn,Centre,Run 10,3.09,22.85,19.35,4.05,23.58,102.00
17,280.00,0.10,0.95,D30,Worn,Centre,Run 10,3.20,27.33,16.44,3.93,27.33,120.00
1,220.00,0.08,0.70,D30,Worn,Centre,Run 11,0.92,5.83,4.42,1.10,5.83,75.00
2,340.00,0.08,0.70,D30,Worn,Centre,Run 11,3.19,24.27,16.70,4.01,24.27,120.00
3,220.00,0.12,0.70,D30,Worn,Centre,Run 11,1.71,11.09,9.43,2.09,11.09,101.00
4,340.00,0.12,0.70,D30,Worn,Centre,Run 11,3.59,17.55,16.99,4.22,17.83,160.00
5,220.00,0.08,1.20,D30,Worn,Centre,Run 11,2.07,13.74,11.37,2.51,13.74,147.00
6,340.00,0.08,1.20,D30,Worn,Centre,Run 11,6.71,34.00,33.24,8.21,35.88,407.00
7,220.00,0.12,1.20,D30,Worn,Centre,Run 11,3.15,17.92,16.36,3.83,19.15,125.00
8,340.00,0.12,1.20,D30,Worn,Centre,Run 11,5.66,29.80,26.28,6.79,30.83,175.00
9,179.09,0.10,0.95,D30,Worn,Centre,Run 11,4.29,37.92,23.56,5.56,37.92,144.00
10,380.91,0.10,0.95,D30,Worn,Centre,Run 11,4.52,22.61,20.38,5.26,22.61,178.00
11,280.00,0.07,0.95,D30,Worn,Centre,Run 11,2.92,16.09,13.98,3.47,16.47,139.00
12,280.00,0.13,0.95,D30,Worn,Centre,Run 11,1.63,11.12,10.28,2.17,11.38,91.00
13,280.00,0.10,0.53,D30,Worn,Centre,Run 11,2.70,13.36,12.93,3.19,14.28,129.00
14,280.00,0.10,1.37,D30,Worn,Centre,Run 11,3.82,27.10,21.48,4.80,27.34,123.00
15,280.00,0.10,0.95,D30,Worn,Centre,Run 11,3.14,18.31,16.20,3.74,18.31,120.00
16,280.00,0.10,0.95,D30,Worn,Centre,Run 11,2.98,23.59,14.94,3.64,23.59,105.00
17,280.00,0.10,0.95,D30,Worn,Centre,Run 11,2.74,14.71,13.48,3.22,15.69,112.00
1,220.00,0.08,0.70,D30,Worn,Centre,Run 12,0.95,5.28,4.49,1.13,6.06,75.00
2,340.00,0.08,0.70,D30,Worn,Centre,Run 12,3.13,15.93,14.77,3.77,15.93,140.00
3,220.00,0.12,0.70,D30,Worn,Centre,Run 12,1.77,11.83,10.33,2.20,11.83,109.00
4,340.00,0.12,0.70,D30,Worn,Centre,Run 12,3.14,16.39,14.18,3.70,16.39,165.00
5,220.00,0.08,1.20,D30,Worn,Centre,Run 12,2.23,12.58,11.71,2.66,12.82,118.00
6,340.00,0.08,1.20,D30,Worn,Centre,Run 12,6.11,33.46,31.56,7.46,33.69,358.00
7,220.00,0.12,1.20,D30,Worn,Centre,Run 12,3.14,23.43,17.09,3.93,23.43,138.00
8,340.00,0.12,1.20,D30,Worn,Centre,Run 12,5.78,36.49,31.39,7.44,39.27,189.00
9,179.09,0.10,0.95,D30,Worn,Centre,Run 12,3.28,16.34,15.11,3.89,16.80,146.00
10,380.91,0.10,0.95,D30,Worn,Centre,Run 12,4.56,27.82,21.44,5.37,27.82,162.00
11,280.00,0.07,0.95,D30,Worn,Centre,Run 12,3.02,15.93,14.45,3.58,16.10,121.00
12,280.00,0.13,0.95,D30,Worn,Centre,Run 12,1.71,11.29,10.68,2.29,11.54,91.00
13,280.00,0.10,0.53,D30,Worn,Centre,Run 12,2.56,14.14,13.22,3.09,14.26,107.00
14,280.00,0.10,1.37,D30,Worn,Centre,Run 12,3.63,19.75,18.88,4.33,21.79,162.00
15,280.00,0.10,0.95,D30,Worn,Centre,Run 12,3.32,18.68,16.90,3.99,18.68,136.00
16,280.00,0.10,0.95,D30,Worn,Centre,Run 12,2.51,21.23,13.75,3.05,21.23,93.00
17,280.00,0.10,0.95,D30,Worn,Centre,Run 12,2.99,14.62,13.92,3.52,15.03,123.00
1,220.00,0.08,0.70,D30,Worn,CE,Run 13,0.69,5.11,3.59,0.84,5.11,54.00
2,340.00,0.08,0.70,D30,Worn,CE,Run 13,1.63,9.76,8.39,1.95,9.83,87.00
3,220.00,0.12,0.70,D30,Worn,CE,Run 13,1.74,10.47,9.61,2.24,10.51,80.00
4,340.00,0.12,0.70,D30,Worn,CE,Run 13,1.85,9.72,9.39,2.33,10.04,94.00
5,220.00,0.08,1.20,D30,Worn,CE,Run 13,1.16,10.76,7.56,1.47,10.76,57.00
6,340.00,0.08,1.20,D30,Worn,CE,Run 13,3.18,17.16,16.43,3.92,17.49,115.00
7,220.00,0.12,1.20,D30,Worn,CE,Run 13,2.73,31.53,14.85,3.43,31.53,103.00
8,340.00,0.12,1.20,D30,Worn,CE,Run 13,3.34,24.16,19.14,4.20,24.25,129.00
9,179.09,0.10,0.95,D30,Worn,CE,Run 13,1.95,13.38,10.80,2.34,13.38,107.00
10,380.91,0.10,0.95,D30,Worn,CE,Run 13,2.45,13.79,13.19,2.96,14.08,101.00
11,280.00,0.07,0.95,D30,Worn,CE,Run 13,1.53,14.53,9.09,1.95,14.73,123.00
12,280.00,0.13,0.95,D30,Worn,CE,Run 13,1.73,11.42,10.48,2.28,11.98,85.00
13,280.00,0.10,0.53,D30,Worn,CE,Run 13,1.52,8.43,7.41,1.78,8.43,87.00
14,280.00,0.10,1.37,D30,Worn,CE,Run 13,2.56,19.35,14.04,3.15,19.35,101.00
15,280.00,0.10,0.95,D30,Worn,CE,Run 13,2.94,17.46,14.92,3.50,18.43,124.00
16,280.00,0.10,0.95,D30,Worn,CE,Run 13,3.97,33.03,23.05,5.13,34.09,140.00
17,280.00,0.10,0.95,D30,Worn,CE,Run 13,2.88,16.31,14.78,3.49,17.20,106.00
1,220.00,0.08,0.70,D30,Worn,CE,Run 14,0.72,4.18,3.54,0.87,4.18,53.00
2,340.00,0.08,0.70,D30,Worn,CE,Run 14,2.06,15.83,12.11,2.50,16.50,152.00
3,220.00,0.12,0.70,D30,Worn,CE,Run 14,1.72,10.15,9.16,2.20,10.15,84.00
4,340.00,0.12,0.70,D30,Worn,CE,Run 14,1.90,10.70,9.54,2.36,10.70,92.00
5,220.00,0.08,1.20,D30,Worn,CE,Run 14,1.37,11.36,9.87,1.75,13.44,71.00
6,340.00,0.08,1.20,D30,Worn,CE,Run 14,3.26,21.24,18.07,4.09,21.53,137.00
7,220.00,0.12,1.20,D30,Worn,CE,Run 14,1.89,10.86,10.18,2.37,11.03,86.00
8,340.00,0.12,1.20,D30,Worn,CE,Run 14,2.70,23.33,15.07,3.36,23.80,107.00
9,179.09,0.10,0.95,D30,Worn,CE,Run 14,2.02,13.73,10.89,2.46,14.66,107.00
10,380.91,0.10,0.95,D30,Worn,CE,Run 14,2.26,14.39,13.06,2.78,14.99,93.00
11,280.00,0.07,0.95,D30,Worn,CE,Run 14,1.19,8.30,6.61,1.44,8.30,113.00
12,280.00,0.13,0.95,D30,Worn,CE,Run 14,1.69,10.85,10.17,2.26,11.25,77.00
13,280.00,0.10,0.53,D30,Worn,CE,Run 14,1.63,10.92,8.25,1.93,10.92,95.00
14,280.00,0.10,1.37,D30,Worn,CE,Run 14,2.73,25.95,17.20,3.59,25.95,92.00
15,280.00,0.10,0.95,D30,Worn,CE,Run 14,3.07,29.86,16.40,3.86,29.86,122.00
16,280.00,0.10,0.95,D30,Worn,CE,Run 14,2.88,18.05,14.22,3.44,18.54,108.00
17,280.00,0.10,0.95,D30,Worn,CE,Run 14,2.79,18.77,14.45,3.37,18.77,105.00
1,220.00,0.08,0.70,D30,Worn,CE,Run 15,0.80,4.11,3.77,1.00,4.11,54.00
2,340.00,0.08,0.70,D30,Worn,CE,Run 15,2.01,14.52,11.97,2.48,14.62,151.00
3,220.00,0.12,0.70,D30,Worn,CE,Run 15,1.66,10.15,9.09,2.15,10.15,90.00
4,340.00,0.12,0.70,D30,Worn,CE,Run 15,1.91,10.20,9.73,2.39,10.78,97.00
5,220.00,0.08,1.20,D30,Worn,CE,Run 15,1.25,10.04,7.86,1.55,10.04,70.00
6,340.00,0.08,1.20,D30,Worn,CE,Run 15,2.84,16.15,15.10,3.50,17.67,113.00
7,220.00,0.12,1.20,D30,Worn,CE,Run 15,1.92,12.26,10.55,2.44,12.83,92.00
8,340.00,0.12,1.20,D30,Worn,CE,Run 15,2.33,13.90,12.58,2.81,14.72,110.00
9,179.09,0.10,0.95,D30,Worn,CE,Run 15,1.71,14.12,11.66,2.21,14.72,64.00
10,380.91,0.10,0.95,D30,Worn,CE,Run 15,2.44,19.45,14.29,2.98,19.45,98.00
11,280.00,0.07,0.95,D30,Worn,CE,Run 15,0.89,5.48,4.95,1.08,5.57,71.00
12,280.00,0.13,0.95,D30,Worn,CE,Run 15,1.76,10.74,10.30,2.35,10.94,96.00
13,280.00,0.10,0.53,D30,Worn,CE,Run 15,1.66,8.36,7.43,1.92,8.58,94.00
14,280.00,0.10,1.37,D30,Worn,CE,Run 15,2.59,19.39,13.88,3.17,20.08,94.00
15,280.00,0.10,0.95,D30,Worn,CE,Run 15,2.63,13.73,13.15,3.12,13.81,106.00
16,280.00,0.10,0.95,D30,Worn,CE,Run 15,2.49,19.65,13.20,3.07,20.19,99.00
17,280.00,0.10,0.95,D30,Worn,CE,Run 15,3.55,34.01,20.28,4.58,34.01,114.00
1,220.00,0.08,0.70,D30,Worn,CE,Run 16,0.69,5.14,3.69,0.84,5.44,55.00
2,340.00,0.08,0.70,D30,Worn,CE,Run 16,1.61,12.51,9.74,1.95,12.58,96.00
3,220.00,0.12,0.70,D30,Worn,CE,Run 16,1.75,9.89,9.42,2.25,10.36,85.00
4,340.00,0.12,0.70,D30,Worn,CE,Run 16,1.88,10.35,9.80,2.37,10.43,101.00
5,220.00,0.08,1.20,D30,Worn,CE,Run 16,1.35,10.02,8.41,1.67,10.02,70.00
6,340.00,0.08,1.20,D30,Worn,CE,Run 16,3.54,18.03,16.77,4.32,18.42,129.00
