Number,Vc,f,ap,Stiffness,Wear,Position,Block,Ra,Ry,Rz,Rq,Rt,Sm
10,380.91,0.10,0.95,D30,New,Centre,Run 4,6.08,27.64,23.06,6.88,27.64,276.00
11,280.00,0.07,0.95,D30,New,Centre,Run 4,4.13,20.03,18.90,4.90,20.68,225.00
12,280.00,0.13,0.95,D30,New,Centre,Run 4,3.06,15.05,13.33,3.53,15.05,192.00
13,280.00,0.10,0.53,D30,New,Centre,Run 4,1.28,8.73,6.88,1.57,8.73,111.00
14,280.00,0.10,1.37,D30,New,Centre,Run 4,5.23,25.51,23.20,6.21,25.51,254.00
15,280.00,0.10,0.95,D30,New,Centre,Run 4,6.60,29.85,28.44,7.78,30.32,376.00
16,280.00,0.10,0.95,D30,New,Centre,Run 4,5.80,27.12,25.70,6.91,27.64,332.00
17,280.00,0.10,0.95,D30,New,Centre,Run 4,5.93,27.54,27.10,7.26,27.85,315.00
1,220.00,0.08,0.70,D30,New,Centre,Run 5,3.93,18.58,18.02,4.66,19.30,212.00
2,340.00,0.08,0.70,D30,New,Centre,Run 5,4.06,18.23,16.56,4.74,18.23,215.00
3,220.00,0.12,0.70,D30,New,Centre,Run 5,3.37,15.60,14.23,3.78,15.60,236.00
4,340.00,0.12,0.70,D30,New,Centre,Run 5,1.64,10.14,8.67,2.02,10.14,116.00
5,220.00,0.08,1.20,D30,New,Centre,Run 5,9.51,41.09,38.44,11.20,41.09,461.00
6,340.00,0.08,1.20,D30,New,Centre,Run 5,4.16,18.40,17.58,4.94,28.89,205.00
7,220.00,0.12,1.20,D30,New,Centre,Run 5,2.06,13.72,10.19,2.47,13.72,156.00
8,340.00,0.12,1.20,D30,New,Centre,Run 5,2.83,17.36,12.60,3.32,17.36,208.00
9,179.09,0.10,0.95,D30,New,Centre,Run 5,5.10,23.55,21.38,5.96,23.55,272.00
10,380.91,0.10,0.95,D30,New,Centre,Run 5,3.59,18.18,17.40,4.40,18.27,193.00
11,280.00,0.07,0.95,D30,New,Centre,Run 5,4.06,18.97,18.26,4.84,19.62,208.00
12,280.00,0.13,0.95,D30,New,Centre,Run 5,3.39,16.90,14.64,3.93,16.90,215.00
13,280.00,0.10,0.53,D30,New,Centre,Run 5,1.16,7.53,6.52,1.43,7.53,107.00
14,280.00,0.10,1.37,D30,New,Centre,Run 5,5.55,26.68,24.88,6.63,26.68,263.00
15,280.00,0.10,0.95,D30,New,Centre,Run 5,6.57,31.51,28.82,7.81,31.81,342.00
16,280.00,0.10,0.95,D30,New,Centre,Run 5,6.58,29.28,26.95,7.68,29.43,310.00
17,280.00,0.10,0.95,D30,New,Centre,Run 5,6.04,29.28,25.80,7.14,29.28,380.00
1,220.00,0.08,0.70,D30,New,Centre,Run 6,4.04,19.16,18.43,4.82,19.68,212.00
2,340.00,0.08,0.70,D30,New,Centre,Run 6,3.75,18.30,16.06,4.43,18.82,202.00
3,220.00,0.12,0.70,D30,New,Centre,Run 6,3.24,15.13,13.90,3.73,15.13,190.00
4,340.00,0.12,0.70,D30,New,Centre,Run 6,1.55,9.31,7.83,1.87,9.31,118.00
5,220.00,0.08,1.20,D30,New,Centre,Run 6,8.60,38.34,35.68,10.23,38.34,468.00
6,340.00,0.08,1.20,D30,New,Centre,Run 6,4.25,19.20,18.09,4.99,19.80,241.00
7,220.00,0.12,1.20,D30,New,Centre,Run 6,1.99,13.19,9.91,2.40,13.19,134.00
8,340.00,0.12,1.20,D30,New,Centre,Run 6,4.36,21.73,18.42,5.08,22.04,269.00
9,179.09,0.10,0.95,D30,New,Centre,Run 6,4.40,21.16,17.84,5.14,21.16,247.00
10,380.91,0.10,0.95,D30,New,Centre,Run 6,4.45,23.51,19.63,5.24,23.51,246.00
11,280.00,0.07,0.95,D30,New,Centre,Run 6,4.17,20.87,19.15,4.98,21.52,224.00
12,280.00,0.13,0.95,D30,New,Centre,Run 6,3.39,15.99,14.83,3.95,16.28,238.00
13,280.00,0.10,0.53,D30,New,Centre,Run 6,1.34,7.94,7.05,1.62,7.94,120.00
14,280.00,0.10,1.37,D30,New,Centre,Run 6,5.33,24.90,23.88,6.29,26.26,272.00
15,280.00,0.10,0.95,D30,New,Centre,Run 6,7.05,30.87,29.27,8.26,31.05,350.00
16,280.00,0.10,0.95,D30,New,Centre,Run 6,6.14,27.92,26.57,7.24,28.33,330.00
17,280.00,0.10,0.95,D30,New,Centre,Run 6,7.27,27.81,26.97,8.21,28.70,395.00
1,220.00,0.08,0.70,D30,New,Centre,Run 7,3.65,19.61,17.77,4.39,19.71,213.00
2,340.00,0.08,0.70,D30,New,Centre,Run 7,3.96,17.92,16.18,4.61,18.05,226.00
3,220.00,0.12,0.70,D30,New,Centre,Run 7,4.39,19.06,17.31,4.95,19.22,391.00
4,340.00,0.12,0.70,D30,New,Centre,Run 7,1.54,8.22,7.56,1.85,8.81,123.00
5,220.00,0.08,1.20,D30,New,Centre,Run 7,9.71,42.67,39.03,11.44,42.67,460.00
6,340.00,0.08,1.20,D30,New,Centre,Run 7,4.26,20.32,18.66,5.04,20.32,205.00
